age,weight,height,injury_type,goal,exercise
63,62,154,shoulder,strength,Reverse Tabletop Pose
46,71,157,legs,rehab,Straight leg raises (L/R)
46,80,171,legs,strength,Standing calf raise
73,96,156,upper_back,rehab,Overhead Arm Hold
42,88,163,hips,flexibility,Side plank
80,67,146,core,flexibility,Reverse Tabletop Pose
46,80,170,core,rehab,Reverse Tabletop Pose
67,107,147,core,rehab,Bird Dog Hold
54,83,154,upper_back,strength,Overhead Arm Hold
66,78,179,hips,rehab,Butterfly stretch
51,88,178,hips,rehab,Butterfly stretch
56,92,169,none,flexibility,Bridge pose hold
59,76,168,hips,strength,Standing quad stretch (L/R)
44,88,158,hips,strength,Side plank
68,78,155,legs,rehab,Calf stretch
51,91,160,lower_back,strength,Bridge pose hold
55,84,147,core,flexibility,Plank
45,88,167,lower_back,flexibility,Plank
23,73,165,shoulder,flexibility,Plank
55,72,154,shoulder,rehab,Reverse Tabletop Pose
91,94,183,shoulder,rehab,Overhead Arm Hold
69,81,172,upper_back,flexibility,Overhead Arm Hold
58,86,173,shoulder,flexibility,Overhead Arm Hold
54,78,159,core,strength,Reverse Tabletop Pose
58,93,164,none,strength,Straight leg raises (L/R)
65,74,172,shoulder,strength,Reverse Tabletop Pose
42,80,166,shoulder,strength,Side plank
73,92,183,none,flexibility,Side plank
68,97,162,legs,strength,Straight leg raises (L/R)
68,75,159,shoulder,flexibility,Reverse Tabletop Pose
64,106,172,none,flexibility,Bridge pose hold
58,86,150,lower_back,rehab,Bird Dog Hold
67,69,175,legs,strength,Calf stretch
66,87,149,hips,flexibility,Standing quad stretch (L/R)
53,77,172,upper_back,rehab,Overhead Arm Hold
50,87,157,legs,rehab,Straight leg raises (L/R)
59,81,170,legs,flexibility,Chair pose
79,83,175,lower_back,flexibility,Bridge pose hold
41,71,166,none,strength,Reverse Tabletop Pose
38,94,151,core,strength,Plank
60,68,154,core,flexibility,Bridge pose hold
59,68,156,shoulder,flexibility,Overhead Arm Hold
60,87,142,hips,rehab,Half-Kneeling Hip Flexor Stretch
61,102,178,none,rehab,Bridge pose hold
55,78,166,lower_back,rehab,Bridge pose hold
78,91,151,none,rehab,Calf stretch
36,95,181,none,rehab,Straight leg raises (L/R)
47,92,156,lower_back,strength,Hollow Body Hold
57,78,167,legs,rehab,Calf stretch
36,68,155,hips,flexibility,Half-Kneeling Hip Flexor Stretch
56,54,141,none,strength,Butterfly stretch
80,79,149,lower_back,rehab,Bird Dog Hold
58,97,159,core,rehab,Reverse Tabletop Pose
61,68,175,upper_back,rehab,Overhead Arm Hold
41,91,169,none,flexibility,Reverse Tabletop Pose
50,70,166,upper_back,rehab,Overhead Arm Hold
53,83,141,lower_back,flexibility,Plank
54,91,179,legs,flexibility,Calf stretch
75,74,167,none,rehab,Reverse Tabletop Pose
66,84,163,upper_back,rehab,Overhead Arm Hold
43,77,178,legs,strength,Standing calf raise
61,91,179,shoulder,strength,Overhead Arm Hold
65,85,178,shoulder,strength,Overhead Arm Hold
73,83,162,none,flexibility,Standing quad stretch (L/R)
79,101,153,legs,rehab,Standing quad stretch (L/R)
44,90,176,lower_back,strength,Plank
47,73,149,shoulder,flexibility,Side plank
41,81,187,core,strength,Hollow Body Hold
55,81,165,none,strength,Calf stretch
64,83,152,none,rehab,Standing quad stretch (L/R)
71,114,150,shoulder,rehab,Reverse Tabletop Pose
57,87,150,core,flexibility,Bridge pose hold
54,57,166,upper_back,rehab,Overhead Arm Hold
60,75,164,lower_back,strength,Bridge pose hold
47,58,150,legs,flexibility,Straight leg raises (L/R)
86,78,160,shoulder,flexibility,Overhead Arm Hold
36,57,149,none,flexibility,Side plank
60,71,171,lower_back,flexibility,Hollow Body Hold
85,63,164,shoulder,rehab,Reverse Tabletop Pose
58,87,160,upper_back,strength,Overhead Arm Hold
55,82,149,lower_back,rehab,Bridge pose hold
53,86,161,hips,rehab,Butterfly stretch
56,81,160,none,flexibility,Straight leg raises (L/R)
77,65,168,upper_back,rehab,Overhead Arm Hold
28,88,166,legs,rehab,Straight leg raises (L/R)
79,106,174,lower_back,strength,Bird Dog Hold
39,87,159,core,flexibility,Side plank
54,77,143,shoulder,rehab,Overhead Arm Hold
52,64,176,core,flexibility,Bridge pose hold
66,71,154,lower_back,strength,Bird Dog Hold
36,88,152,legs,rehab,Calf stretch
64,95,164,core,strength,Bridge pose hold
85,85,168,core,strength,Bridge pose hold
40,92,158,core,flexibility,Side plank
61,91,158,none,flexibility,Bird Dog Hold
49,88,160,lower_back,flexibility,Plank
64,74,181,shoulder,rehab,Reverse Tabletop Pose
58,84,164,none,flexibility,Hollow Body Hold
49,71,153,core,rehab,Reverse Tabletop Pose
65,82,153,upper_back,strength,Overhead Arm Hold
82,86,162,upper_back,flexibility,Overhead Arm Hold
55,103,167,shoulder,strength,Reverse Tabletop Pose
68,66,170,none,flexibility,Bird Dog Hold
41,88,166,hips,strength,Bird Dog Hold
45,101,155,hips,rehab,Half-Kneeling Hip Flexor Stretch
64,91,160,upper_back,strength,Overhead Arm Hold
78,92,173,core,rehab,Bird Dog Hold
63,89,151,legs,flexibility,Chair pose
54,98,159,lower_back,flexibility,Bird Dog Hold
58,68,171,none,flexibility,Standing quad stretch (L/R)
41,65,175,shoulder,rehab,Reverse Tabletop Pose
66,82,162,legs,flexibility,Standing calf raise
70,55,160,none,rehab,Calf stretch
52,97,149,core,rehab,Bird Dog Hold
52,97,171,lower_back,strength,Bridge pose hold
62,77,180,none,flexibility,Bridge pose hold
52,77,194,upper_back,strength,Overhead Arm Hold
57,81,169,none,rehab,Bridge pose hold
86,83,164,shoulder,strength,Overhead Arm Hold
55,84,154,legs,flexibility,Standing quad stretch (L/R)
53,89,143,lower_back,rehab,Bird Dog Hold
49,80,167,upper_back,strength,Reverse Tabletop Pose
68,94,192,upper_back,flexibility,Overhead Arm Hold
56,88,179,lower_back,flexibility,Dead Bug Hold
49,74,178,hips,strength,Side plank
76,99,167,none,rehab,Reverse Tabletop Pose
77,65,169,none,flexibility,Straight leg raises (L/R)
50,81,136,hips,rehab,Standing quad stretch (L/R)
33,94,173,lower_back,flexibility,Bird Dog Hold
72,73,158,lower_back,rehab,Bridge pose hold
49,86,156,lower_back,rehab,Bridge pose hold
69,89,161,upper_back,flexibility,Overhead Arm Hold
31,71,160,core,strength,Dead Bug Hold
70,81,156,none,strength,Overhead Arm Hold
42,80,165,core,strength,Hollow Body Hold
68,75,158,none,rehab,Bridge pose hold
58,111,166,shoulder,strength,Reverse Tabletop Pose
45,72,147,upper_back,strength,Reverse Tabletop Pose
53,95,162,none,flexibility,Reverse Tabletop Pose
67,77,152,upper_back,rehab,Overhead Arm Hold
59,68,157,hips,strength,Half-Kneeling Hip Flexor Stretch
66,83,166,lower_back,flexibility,Bridge pose hold
85,90,146,upper_back,rehab,Overhead Arm Hold
37,94,155,upper_back,flexibility,Plank
80,102,171,lower_back,strength,Bridge pose hold
59,119,148,core,rehab,Reverse Tabletop Pose
46,85,185,shoulder,rehab,Overhead Arm Hold
40,74,179,hips,strength,Bird Dog Hold
55,88,159,legs,flexibility,Chair pose
70,79,155,core,rehab,Bridge pose hold
56,94,167,upper_back,rehab,Overhead Arm Hold
78,66,148,shoulder,rehab,Overhead Arm Hold
38,112,141,legs,strength,Standing calf raise
58,93,159,none,flexibility,Bridge pose hold
41,61,163,core,strength,Dead Bug Hold
63,73,166,none,rehab,Overhead Arm Hold
70,92,157,core,flexibility,Reverse Tabletop Pose
52,97,179,lower_back,flexibility,Dead Bug Hold
23,66,147,legs,strength,Standing calf raise
61,91,151,lower_back,strength,Bird Dog Hold
64,58,170,none,rehab,Overhead Arm Hold
63,81,151,core,strength,Reverse Tabletop Pose
75,96,150,core,strength,Bridge pose hold
44,75,166,core,strength,Plank
67,63,152,shoulder,strength,Overhead Arm Hold
74,84,163,core,strength,Bridge pose hold
34,74,156,legs,rehab,Standing quad stretch (L/R)
62,90,154,hips,flexibility,Standing quad stretch (L/R)
51,71,140,shoulder,strength,Reverse Tabletop Pose
57,72,166,legs,flexibility,Calf stretch
63,57,150,upper_back,flexibility,Overhead Arm Hold
51,84,163,legs,strength,Calf stretch
49,80,159,none,strength,Standing calf raise
58,67,162,legs,flexibility,Calf stretch
43,84,163,hips,rehab,Half-Kneeling Hip Flexor Stretch
43,95,167,shoulder,flexibility,Side plank
67,79,156,upper_back,rehab,Overhead Arm Hold
42,85,179,core,flexibility,Side plank
67,85,143,shoulder,strength,Overhead Arm Hold
64,67,162,shoulder,rehab,Reverse Tabletop Pose
35,108,174,upper_back,flexibility,Overhead Arm Hold
49,76,170,none,rehab,Standing quad stretch (L/R)
74,90,153,upper_back,strength,Overhead Arm Hold
45,92,155,hips,rehab,Half-Kneeling Hip Flexor Stretch
52,80,153,none,strength,Overhead Arm Hold
64,90,171,lower_back,strength,Bird Dog Hold
69,85,156,hips,rehab,Half-Kneeling Hip Flexor Stretch
55,64,167,none,strength,Straight leg raises (L/R)
50,78,168,none,strength,Plank
77,74,192,core,strength,Bridge pose hold
81,76,168,upper_back,rehab,Overhead Arm Hold
71,66,155,legs,strength,Calf stretch
59,96,147,legs,flexibility,Standing quad stretch (L/R)
47,102,161,shoulder,strength,Plank
47,94,163,shoulder,flexibility,Plank
65,98,139,lower_back,rehab,Bird Dog Hold
64,78,156,none,flexibility,Butterfly stretch
77,74,168,lower_back,strength,Bird Dog Hold
67,72,158,lower_back,strength,Bridge pose hold
38,90,176,lower_back,strength,Plank
72,85,146,legs,strength,Straight leg raises (L/R)
45,81,172,none,strength,Reverse Tabletop Pose
53,98,175,upper_back,strength,Overhead Arm Hold
61,87,176,core,rehab,Bird Dog Hold
85,72,146,core,strength,Bridge pose hold
99,73,168,lower_back,flexibility,Bridge pose hold
66,91,157,none,flexibility,Dead Bug Hold
56,95,148,hips,flexibility,Side plank
65,89,160,core,rehab,Bridge pose hold
70,106,154,lower_back,flexibility,Bird Dog Hold
54,102,175,legs,flexibility,Bridge pose hold
82,88,170,shoulder,flexibility,Plank
61,72,151,hips,rehab,Standing quad stretch (L/R)
65,66,156,lower_back,flexibility,Bird Dog Hold
67,77,160,legs,flexibility,Standing calf raise
64,91,164,shoulder,rehab,Reverse Tabletop Pose
69,105,176,lower_back,strength,Bird Dog Hold
50,87,173,legs,flexibility,Straight leg raises (L/R)
50,97,165,legs,strength,Chair pose
43,79,161,upper_back,flexibility,Overhead Arm Hold
64,90,144,legs,rehab,Straight leg raises (L/R)
69,92,180,lower_back,strength,Bird Dog Hold
64,57,159,none,rehab,Overhead Arm Hold
81,77,183,legs,strength,Straight leg raises (L/R)
58,94,167,hips,rehab,Butterfly stretch
67,85,188,legs,strength,Standing quad stretch (L/R)
43,67,172,legs,strength,Standing calf raise
53,52,148,core,strength,Reverse Tabletop Pose
67,77,157,hips,flexibility,Side plank
69,81,163,lower_back,strength,Bird Dog Hold
54,71,154,shoulder,strength,Reverse Tabletop Pose
57,84,160,upper_back,flexibility,Reverse Tabletop Pose
38,88,149,core,flexibility,Bridge pose hold
53,90,165,shoulder,rehab,Overhead Arm Hold
70,53,167,lower_back,rehab,Bridge pose hold
66,66,153,lower_back,flexibility,Bird Dog Hold
65,78,187,core,flexibility,Reverse Tabletop Pose
59,89,165,hips,flexibility,Bird Dog Hold
58,88,155,shoulder,flexibility,Plank
49,88,145,legs,flexibility,Bridge pose hold
67,77,165,hips,rehab,Butterfly stretch
64,78,161,hips,flexibility,Bird Dog Hold
65,73,174,upper_back,flexibility,Overhead Arm Hold
51,92,163,hips,rehab,Standing quad stretch (L/R)
29,70,151,shoulder,strength,Plank
73,93,184,lower_back,rehab,Bridge pose hold
52,85,170,core,rehab,Reverse Tabletop Pose
46,81,162,upper_back,flexibility,Overhead Arm Hold
67,74,166,core,strength,Bird Dog Hold
53,65,170,core,rehab,Bridge pose hold
72,74,148,legs,strength,Standing quad stretch (L/R)
66,78,166,none,rehab,Reverse Tabletop Pose
67,52,159,shoulder,flexibility,Reverse Tabletop Pose
40,80,170,legs,rehab,Straight leg raises (L/R)
74,94,156,none,rehab,Overhead Arm Hold
62,89,157,none,rehab,Bridge pose hold
53,76,184,hips,strength,Half-Kneeling Hip Flexor Stretch
60,83,179,shoulder,strength,Reverse Tabletop Pose
34,75,130,core,flexibility,Bridge pose hold
64,84,178,none,strength,Standing quad stretch (L/R)
44,101,164,upper_back,strength,Reverse Tabletop Pose
40,94,156,core,strength,Dead Bug Hold
37,89,153,upper_back,flexibility,Overhead Arm Hold
73,76,153,legs,flexibility,Calf stretch
50,91,157,lower_back,flexibility,Plank
79,61,151,none,flexibility,Standing quad stretch (L/R)
51,79,149,core,rehab,Reverse Tabletop Pose
35,89,152,upper_back,flexibility,Plank
43,91,168,legs,flexibility,Calf stretch
75,90,165,lower_back,rehab,Bird Dog Hold
56,86,171,shoulder,rehab,Reverse Tabletop Pose
51,80,164,upper_back,strength,Overhead Arm Hold
60,89,149,upper_back,strength,Overhead Arm Hold
65,70,170,core,flexibility,Side plank
73,71,153,core,strength,Bridge pose hold
78,83,172,legs,rehab,Straight leg raises (L/R)
53,84,151,upper_back,strength,Overhead Arm Hold
40,59,156,none,strength,Side plank
52,88,160,legs,flexibility,Calf stretch
62,92,172,upper_back,rehab,Overhead Arm Hold
45,81,167,legs,rehab,Standing quad stretch (L/R)
45,112,165,none,strength,Bridge pose hold
63,73,186,none,strength,Overhead Arm Hold
57,77,143,upper_back,strength,Overhead Arm Hold
58,77,152,shoulder,flexibility,Overhead Arm Hold
48,81,152,core,strength,Dead Bug Hold
55,78,144,shoulder,strength,Reverse Tabletop Pose
46,64,156,none,flexibility,Dead Bug Hold
70,75,173,legs,rehab,Straight leg raises (L/R)
72,81,158,none,flexibility,Side plank
33,97,161,shoulder,strength,Side plank
45,110,144,legs,strength,Bridge pose hold
38,99,155,core,rehab,Bird Dog Hold
49,72,159,none,flexibility,Overhead Arm Hold
57,73,172,legs,strength,Straight leg raises (L/R)
38,80,145,core,rehab,Bird Dog Hold
46,104,159,hips,strength,Side plank
44,80,177,shoulder,rehab,Overhead Arm Hold
61,65,159,hips,strength,Butterfly stretch
59,76,140,none,strength,Bird Dog Hold
48,91,179,core,rehab,Bird Dog Hold
60,91,173,core,rehab,Reverse Tabletop Pose
51,79,175,hips,strength,Butterfly stretch
54,91,144,none,rehab,Overhead Arm Hold
81,54,182,core,strength,Bird Dog Hold
76,83,155,upper_back,strength,Overhead Arm Hold
40,93,159,legs,flexibility,Straight leg raises (L/R)
69,72,156,lower_back,strength,Bird Dog Hold
69,72,176,hips,strength,Butterfly stretch
42,59,162,upper_back,rehab,Overhead Arm Hold
69,102,170,shoulder,flexibility,Side plank
79,73,165,lower_back,rehab,Bird Dog Hold
43,85,163,core,rehab,Reverse Tabletop Pose
46,90,153,legs,strength,Standing calf raise
72,101,186,upper_back,strength,Overhead Arm Hold
62,80,147,lower_back,strength,Bird Dog Hold
65,75,169,legs,rehab,Standing quad stretch (L/R)
63,84,169,legs,rehab,Straight leg raises (L/R)
63,98,178,lower_back,strength,Bird Dog Hold
40,80,181,upper_back,rehab,Overhead Arm Hold
72,70,163,core,flexibility,Hollow Body Hold
74,63,171,lower_back,flexibility,Bridge pose hold
55,67,185,hips,flexibility,Side plank
57,93,164,legs,rehab,Standing quad stretch (L/R)
37,78,152,shoulder,flexibility,Overhead Arm Hold
65,74,160,core,strength,Reverse Tabletop Pose
66,73,149,none,strength,Bird Dog Hold
57,83,169,none,strength,Half-Kneeling Hip Flexor Stretch
73,79,177,lower_back,flexibility,Dead Bug Hold
53,79,163,lower_back,flexibility,Plank
66,99,146,legs,rehab,Standing quad stretch (L/R)
44,101,176,legs,strength,Chair pose
58,62,144,lower_back,rehab,Bird Dog Hold
56,86,146,none,flexibility,Straight leg raises (L/R)
61,72,162,shoulder,rehab,Reverse Tabletop Pose
53,79,167,legs,strength,Calf stretch
56,86,169,legs,rehab,Straight leg raises (L/R)
69,79,164,hips,rehab,Butterfly stretch
52,85,185,upper_back,flexibility,Reverse Tabletop Pose
36,90,165,hips,flexibility,Butterfly stretch
82,86,177,shoulder,flexibility,Side plank
77,74,174,none,flexibility,Reverse Tabletop Pose
41,74,149,upper_back,strength,Plank
67,64,163,none,strength,Standing quad stretch (L/R)
51,71,189,lower_back,rehab,Bird Dog Hold
62,107,159,none,strength,Reverse Tabletop Pose
62,72,157,shoulder,rehab,Overhead Arm Hold
55,67,166,shoulder,flexibility,Overhead Arm Hold
47,86,159,hips,rehab,Half-Kneeling Hip Flexor Stretch
49,81,155,upper_back,rehab,Overhead Arm Hold
46,80,159,shoulder,strength,Plank
47,100,181,upper_back,rehab,Overhead Arm Hold
57,89,163,none,strength,Bridge pose hold
48,75,149,core,rehab,Bird Dog Hold
67,77,147,none,strength,Bird Dog Hold
78,76,190,lower_back,flexibility,Bridge pose hold
50,93,162,upper_back,strength,Reverse Tabletop Pose
61,78,170,hips,flexibility,Butterfly stretch
65,60,156,none,strength,Overhead Arm Hold
64,81,168,hips,flexibility,Side plank
59,63,182,shoulder,flexibility,Reverse Tabletop Pose
68,109,157,upper_back,strength,Overhead Arm Hold
65,70,170,none,flexibility,Bird Dog Hold
41,80,148,hips,rehab,Half-Kneeling Hip Flexor Stretch
70,85,188,legs,rehab,Calf stretch
70,78,168,hips,flexibility,Bird Dog Hold
48,78,160,lower_back,flexibility,Bridge pose hold
59,87,161,legs,flexibility,Standing calf raise
67,101,159,upper_back,strength,Overhead Arm Hold
55,92,159,core,rehab,Bridge pose hold
72,100,136,shoulder,flexibility,Reverse Tabletop Pose
90,69,163,legs,flexibility,Bridge pose hold
47,86,163,hips,strength,Side plank
39,84,170,none,rehab,Butterfly stretch
62,86,158,none,flexibility,Reverse Tabletop Pose
68,99,156,shoulder,rehab,Overhead Arm Hold
55,79,164,core,strength,Bridge pose hold
78,77,146,core,rehab,Reverse Tabletop Pose
40,89,166,shoulder,flexibility,Plank
67,60,143,shoulder,flexibility,Plank
50,79,178,shoulder,rehab,Reverse Tabletop Pose
81,80,172,upper_back,strength,Overhead Arm Hold
85,70,154,upper_back,strength,Overhead Arm Hold
48,95,172,upper_back,strength,Reverse Tabletop Pose
51,69,166,none,strength,Bridge pose hold
70,80,153,hips,flexibility,Bird Dog Hold
53,86,141,upper_back,rehab,Overhead Arm Hold
57,99,168,shoulder,flexibility,Reverse Tabletop Pose
58,82,155,legs,rehab,Calf stretch
32,94,177,legs,rehab,Straight leg raises (L/R)
58,91,165,core,strength,Bridge pose hold
49,84,156,legs,strength,Chair pose
51,68,185,legs,rehab,Straight leg raises (L/R)
77,64,171,legs,rehab,Straight leg raises (L/R)
41,83,130,core,rehab,Bird Dog Hold
69,75,159,lower_back,flexibility,Bird Dog Hold
54,93,148,none,rehab,Bird Dog Hold
54,91,155,legs,flexibility,Bridge pose hold
69,80,163,legs,rehab,Standing quad stretch (L/R)
63,68,169,legs,strength,Standing quad stretch (L/R)
66,88,168,none,rehab,Bird Dog Hold
71,69,177,core,rehab,Reverse Tabletop Pose
54,73,172,hips,flexibility,Standing quad stretch (L/R)
50,70,171,lower_back,rehab,Bridge pose hold
43,80,167,none,flexibility,Overhead Arm Hold
47,97,180,legs,flexibility,Standing calf raise
98,82,161,core,strength,Reverse Tabletop Pose
75,76,161,core,strength,Bird Dog Hold
40,63,142,upper_back,strength,Plank
40,89,177,none,strength,Plank
65,72,164,none,flexibility,Plank
65,83,199,hips,rehab,Half-Kneeling Hip Flexor Stretch
65,78,160,core,flexibility,Side plank
55,92,166,core,strength,Bridge pose hold
56,80,171,lower_back,rehab,Bird Dog Hold
62,81,152,upper_back,flexibility,Overhead Arm Hold
59,88,169,upper_back,rehab,Overhead Arm Hold
28,108,165,hips,flexibility,Side plank
55,93,161,core,rehab,Bridge pose hold
47,81,178,upper_back,rehab,Overhead Arm Hold
60,82,154,shoulder,strength,Reverse Tabletop Pose
98,75,168,hips,strength,Standing quad stretch (L/R)
63,70,181,hips,rehab,Half-Kneeling Hip Flexor Stretch
54,75,156,shoulder,rehab,Overhead Arm Hold
70,72,161,hips,strength,Half-Kneeling Hip Flexor Stretch
65,90,192,upper_back,flexibility,Plank
64,69,170,upper_back,rehab,Overhead Arm Hold
66,99,159,none,flexibility,Reverse Tabletop Pose
86,91,174,upper_back,strength,Overhead Arm Hold
43,82,158,shoulder,rehab,Reverse Tabletop Pose
64,82,146,none,flexibility,Bridge pose hold
45,75,181,upper_back,strength,Reverse Tabletop Pose
65,85,152,shoulder,rehab,Overhead Arm Hold
46,96,193,shoulder,flexibility,Overhead Arm Hold
52,73,159,shoulder,rehab,Overhead Arm Hold
54,63,189,none,flexibility,Bridge pose hold
71,91,149,hips,flexibility,Side plank
70,86,176,lower_back,rehab,Bird Dog Hold
41,68,170,core,strength,Hollow Body Hold
59,73,174,shoulder,rehab,Overhead Arm Hold
48,71,176,upper_back,strength,Reverse Tabletop Pose
41,73,159,shoulder,flexibility,Side plank
55,78,149,core,flexibility,Bridge pose hold
54,79,164,legs,flexibility,Standing quad stretch (L/R)
91,74,167,hips,strength,Standing quad stretch (L/R)
64,73,159,upper_back,flexibility,Overhead Arm Hold
39,79,168,hips,rehab,Half-Kneeling Hip Flexor Stretch
50,84,168,hips,flexibility,Side plank
72,78,154,legs,strength,Straight leg raises (L/R)
86,96,169,shoulder,strength,Reverse Tabletop Pose
37,88,161,upper_back,rehab,Overhead Arm Hold
33,62,156,lower_back,rehab,Bird Dog Hold
83,89,174,hips,strength,Butterfly stretch
63,90,155,core,strength,Reverse Tabletop Pose
46,77,159,lower_back,rehab,Bridge pose hold
65,63,165,lower_back,rehab,Bridge pose hold
22,82,181,none,rehab,Overhead Arm Hold
58,82,167,shoulder,rehab,Overhead Arm Hold
62,68,171,lower_back,strength,Bird Dog Hold
70,64,161,upper_back,flexibility,Reverse Tabletop Pose
44,81,164,shoulder,strength,Side plank
59,79,164,core,rehab,Bird Dog Hold
46,77,168,lower_back,strength,Dead Bug Hold
61,81,161,shoulder,rehab,Reverse Tabletop Pose
46,68,180,upper_back,strength,Reverse Tabletop Pose
52,77,160,hips,rehab,Butterfly stretch
45,89,145,legs,rehab,Standing quad stretch (L/R)
67,78,196,shoulder,strength,Reverse Tabletop Pose
70,61,161,core,rehab,Bird Dog Hold
55,76,180,legs,flexibility,Chair pose
59,69,181,none,rehab,Reverse Tabletop Pose
38,85,176,hips,rehab,Standing quad stretch (L/R)
54,86,162,core,rehab,Bridge pose hold
57,61,168,upper_back,flexibility,Plank
93,91,150,core,strength,Bird Dog Hold
43,68,188,hips,flexibility,Butterfly stretch
78,101,155,legs,flexibility,Standing calf raise
71,81,162,upper_back,flexibility,Plank
62,66,166,core,strength,Bird Dog Hold
82,68,163,lower_back,rehab,Bridge pose hold
63,86,157,lower_back,flexibility,Hollow Body Hold
63,77,181,shoulder,rehab,Overhead Arm Hold
57,81,176,lower_back,flexibility,Plank
75,102,168,core,flexibility,Bird Dog Hold
73,73,160,legs,flexibility,Standing quad stretch (L/R)
50,83,177,lower_back,flexibility,Bridge pose hold
40,100,159,shoulder,flexibility,Reverse Tabletop Pose
55,85,183,upper_back,flexibility,Overhead Arm Hold
47,62,166,lower_back,strength,Plank
57,88,179,shoulder,rehab,Reverse Tabletop Pose
75,67,163,lower_back,rehab,Bird Dog Hold
52,100,165,none,strength,Standing quad stretch (L/R)
57,72,179,lower_back,flexibility,Hollow Body Hold
59,119,190,core,strength,Bridge pose hold
69,100,183,legs,strength,Standing quad stretch (L/R)
28,72,175,shoulder,strength,Side plank
50,82,171,shoulder,rehab,Overhead Arm Hold
61,91,159,hips,strength,Half-Kneeling Hip Flexor Stretch
74,92,168,hips,flexibility,Bird Dog Hold
51,88,154,shoulder,strength,Reverse Tabletop Pose
33,98,169,core,rehab,Bird Dog Hold
66,80,170,legs,rehab,Straight leg raises (L/R)
49,77,142,lower_back,flexibility,Bird Dog Hold
42,78,165,upper_back,strength,Plank
50,93,169,core,flexibility,Hollow Body Hold
56,87,164,lower_back,strength,Bridge pose hold
50,86,169,upper_back,flexibility,Plank
28,92,149,legs,flexibility,Chair pose
70,56,155,hips,flexibility,Bird Dog Hold
75,86,177,shoulder,rehab,Overhead Arm Hold
67,85,165,legs,rehab,Straight leg raises (L/R)
43,103,168,upper_back,strength,Plank
55,63,158,core,rehab,Bird Dog Hold
58,101,165,shoulder,flexibility,Overhead Arm Hold
66,83,138,upper_back,rehab,Overhead Arm Hold
67,88,174,lower_back,rehab,Bird Dog Hold
48,103,186,lower_back,strength,Plank
59,89,152,core,flexibility,Reverse Tabletop Pose
64,87,154,lower_back,rehab,Bird Dog Hold
78,85,170,shoulder,rehab,Overhead Arm Hold
68,76,182,hips,strength,Half-Kneeling Hip Flexor Stretch
69,82,164,hips,strength,Butterfly stretch
59,73,150,upper_back,flexibility,Overhead Arm Hold
77,81,162,hips,strength,Half-Kneeling Hip Flexor Stretch
64,53,152,hips,flexibility,Standing quad stretch (L/R)
46,87,157,upper_back,flexibility,Reverse Tabletop Pose
77,80,161,upper_back,rehab,Overhead Arm Hold
67,78,154,upper_back,rehab,Overhead Arm Hold
52,85,155,shoulder,rehab,Overhead Arm Hold
52,64,165,none,rehab,Bird Dog Hold
62,106,167,upper_back,rehab,Overhead Arm Hold
64,81,148,shoulder,flexibility,Plank
61,80,169,shoulder,rehab,Overhead Arm Hold
62,70,160,shoulder,rehab,Reverse Tabletop Pose
81,82,173,none,rehab,Bridge pose hold
72,99,174,upper_back,flexibility,Reverse Tabletop Pose
61,95,158,hips,strength,Butterfly stretch
71,93,172,core,strength,Bridge pose hold
44,89,155,core,rehab,Bird Dog Hold
63,78,180,none,strength,Overhead Arm Hold
82,64,155,hips,flexibility,Bird Dog Hold
55,79,169,none,rehab,Bridge pose hold
47,79,162,upper_back,flexibility,Plank
49,95,153,hips,flexibility,Bird Dog Hold
43,86,175,none,rehab,Standing quad stretch (L/R)
47,102,157,upper_back,flexibility,Plank
53,97,145,none,rehab,Bridge pose hold
39,76,131,shoulder,flexibility,Plank
58,60,154,lower_back,strength,Bird Dog Hold
70,99,181,legs,strength,Standing quad stretch (L/R)
46,99,179,none,strength,Reverse Tabletop Pose
79,65,156,core,flexibility,Reverse Tabletop Pose
65,101,160,none,rehab,Calf stretch
72,87,159,upper_back,strength,Overhead Arm Hold
49,84,149,shoulder,rehab,Overhead Arm Hold
70,102,153,lower_back,strength,Bridge pose hold
43,99,176,shoulder,strength,Plank
70,90,170,legs,flexibility,Straight leg raises (L/R)
60,88,168,core,strength,Bird Dog Hold
65,90,149,hips,rehab,Half-Kneeling Hip Flexor Stretch
42,77,166,hips,rehab,Butterfly stretch
46,81,138,shoulder,strength,Side plank
66,71,174,legs,rehab,Standing quad stretch (L/R)
45,78,168,shoulder,rehab,Overhead Arm Hold
64,77,149,hips,rehab,Butterfly stretch
40,74,183,shoulder,rehab,Reverse Tabletop Pose
69,84,144,lower_back,rehab,Bridge pose hold
41,78,171,legs,strength,Bridge pose hold
65,88,171,hips,rehab,Standing quad stretch (L/R)
66,62,150,core,rehab,Bridge pose hold
49,81,164,core,strength,Dead Bug Hold
66,84,145,shoulder,flexibility,Reverse Tabletop Pose
62,78,131,legs,rehab,Straight leg raises (L/R)
51,80,152,shoulder,flexibility,Reverse Tabletop Pose
44,62,157,hips,flexibility,Side plank
32,86,172,legs,strength,Chair pose
63,90,165,hips,flexibility,Butterfly stretch
37,88,166,lower_back,flexibility,Plank
59,95,153,lower_back,flexibility,Hollow Body Hold
54,85,158,core,strength,Bird Dog Hold
67,88,154,upper_back,rehab,Overhead Arm Hold
54,84,150,legs,strength,Straight leg raises (L/R)
54,91,158,lower_back,strength,Bird Dog Hold
68,62,165,upper_back,strength,Overhead Arm Hold
63,71,158,core,rehab,Bird Dog Hold
